360050421002,"[u'360050419004', u'360050421003', u'360050421004', u'360050431003', u'360050421005', u'360050435001']"
360050371002,"[u'360050365011', u'360050365022', u'360050369011', u'360050373002', u'360050373003', u'360050371003', u'360050371001', u'360050365012', u'360050365013', u'360050369012']"
360050079002,"[u'360050079004', u'360050079005', u'360050085003', u'360050079003', u'360050079001', u'360050083001', u'360050083002']"
360050119002,"[u'360050121021', u'360050119005', u'360050119004', u'360050115021', u'360050119003', u'360050123003']"
360050323002,"[u'360050323003', u'360050323004', u'360050323001']"
360050255003,"[u'360050269001', u'360050255002', u'360050249001', u'360050257001', u'360050263001']"
360050149001,"[u'360050145001', u'360050149002', u'360050149003', u'360050163001', u'360050147012', u'360050147022', u'360050151001', u'360050169001']"
360811008024,"[u'360811008010', u'360811008012', u'360811008020', u'360811008011', u'360811008022', u'360811008023', u'360810992002', u'360810992001', u'360811032011']"
360811010020,"[u'360811010022', u'360811010010', u'360811010013']"
360810998021,"[u'360810998020', u'360810998022', u'360811010010', u'360810992002', u'360811010013', u'360810998015', u'360810992001', u'360810998014', u'360810998023', u'360810992000']"
360810997050,"[u'360811093000', u'360811093002', u'360810997033', u'360810991000', u'360810999001', u'360050118000', u'360050138000', u'360811483000', u'360810991003', u'360810997051', u'360810997032']"
360811008010,"[u'360811008024', u'360811008012', u'360811008020', u'360811008011', u'360810972030', u'360811072020', u'360811072021']"
360811008012,"[u'360811008024', u'360811008010', u'360811008011', u'360811008022', u'360811032011']"
360811008020,"[u'360811008024', u'360811008010', u'360811008011', u'360810972030', u'360810972033', u'360810992002']"
360811017007,"[u'360811017004', u'360811029002', u'360811029001', u'360811017003', u'360811017006']"
360811032023,"[u'360811032024', u'360811010014', u'360811032022', u'360811010021', u'360811032021']"
360811032024,"[u'360811032023', u'360811010014', u'360811008021', u'360811032021']"
360811093000,"[u'360810997050', u'360811093002', u'360810997033', u'360811113000', u'360811483000', u'360811113001']"
360811093001,"[u'360811093002', u'360810997043', u'360811093003', u'360810997044', u'360811099001', u'360810997011', u'360811097001', u'360811097003', u'360811085003']"
360811093002,"[u'360810997050', u'360811093000', u'360811093001', u'360810997033', u'360811093003', u'360810997044', u'360811123001', u'360811097001', u'360811097002', u'360811113001']"
360811129003,"[u'360811123002', u'360811129001', u'360811129002', u'360811133002', u'360811463001', u'360811467001', u'360811467003']"
360811161002,"[u'360811163005', u'360811163004', u'360810889017', u'360810869001', u'360810889016', u'360810865002', u'360811159003', u'360810865001', u'360811159002', u'360811161001']"
360811163005,"[u'360811161002', u'360811163004', u'360811163003', u'360810863002', u'360810865002', u'360811163001', u'360810863001']"
360050232002,"[u'360050236002', u'360050238003', u'360050230002', u'360050238002', u'360050230001', u'360050232001', u'360050236001']"
360050248003,"[u'360050288003', u'360050248002', u'360050250001', u'360050246001', u'360050246002', u'360050248001', u'360050250002', u'360050288001']"
360050216021,"[u'360050216012', u'360050238001', u'360050210014', u'360050216014', u'360050216024', u'360050216023', u'360050216011', u'360050240001']"
360050361001,"[u'360050361002', u'360050361003', u'360050363003', u'360050363004', u'360050361005', u'360050363002', u'360050334001']"
360050067002,"[u'360050067006', u'360050065002', u'360050065004', u'360050067003', u'360050065003', u'360050067005', u'360050067001', u'360050067004']"
360050044001,"[u'360050042003', u'360050068003', u'360050044003', u'360050070001', u'360050044002', u'360050044004']"
360050039004,"[u'360050041004', u'360050039005', u'360050039002', u'360050039001', u'360050041002', u'360050041001']"
360050173001,"[u'360050175002', u'360050181011', u'360050183022', u'360050183023', u'360050143001', u'360050173002', u'360050175001', u'360050173003']"
360050266021,"[u'360050266024', u'360050266023', u'360050266025', u'360050276001', u'360050266022', u'360050264001', u'360050264002']"
360050392001,"[u'360050435001', u'360050392002', u'360050378001', u'360050394003']"
360050144002,"[u'360050144006', u'360050144003', u'360050144004', u'360050152002', u'360050144001', u'360050110001', u'360050152001']"
360050130001,"[u'360050144006', u'360050118003', u'360050132004', u'360050138001']"
