lat,lng,startTimeStamp,endTimeStamp,durationSeconds,gid
-74.0008926392,40.7210884094,2017-02-15 01:46:40,2017-02-15 01:55:12,512.0,360610047002
-73.9948959351,40.718372345,2017-02-15 01:55:12,2017-02-15 02:03:44,512.0,360610041002
-73.9929656982,40.7129631042,2017-02-15 02:03:44,2017-02-15 02:14:24,640.0,360610008006
-73.9785461426,40.6838722229,2017-02-15 02:14:24,2017-02-15 02:20:48,384.0,360470129011
-73.9884185791,40.6708717346,2017-02-15 02:20:48,2017-02-15 02:27:12,384.0,360470121001
-73.9915466309,40.6642494202,2017-02-15 02:27:12,2017-02-15 10:27:12,28800.0,360470143001
-73.9915466309,40.6641654968,2017-02-15 10:27:12,2017-02-15 16:40:32,22400.0,360470143001
-73.9816360474,40.6821060181,2017-02-15 16:40:32,2017-02-15 16:51:12,640.0,360470127001
-73.9886779785,40.6990318298,2017-02-15 16:51:12,2017-02-15 16:55:28,256.0,360470013001
-73.9943084717,40.7263259888,2017-02-15 16:55:28,2017-02-15 21:45:36,17408.0,360610055021
-73.9978866577,40.7275924683,2017-02-15 21:45:36,2017-02-15 23:02:24,4608.0,360610055012
-74.0015716553,40.7261581421,2017-02-15 23:02:24,2017-02-16 00:59:44,7040.0,360610049003
-73.9920730591,40.6641693115,2017-02-16 00:59:44,2017-02-16 01:55:12,3328.0,360470143001
-73.9915161133,40.664352417,2017-02-16 01:55:12,2017-02-16 10:22:56,30464.0,360470143001
-73.9914398193,40.6641769409,2017-02-16 10:22:56,2017-02-16 15:17:20,17664.0,360470143001
-73.9903335571,40.6686897278,2017-02-16 15:17:20,2017-02-16 15:28:00,640.0,360470117001
-73.9942474365,40.6716194153,2017-02-16 15:28:00,2017-02-16 15:32:16,256.0,360470119001
-73.9976425171,40.6754760742,2017-02-16 15:32:16,2017-02-17 16:51:12,91136.0,360470077003
-73.9994506836,40.704334259,2017-02-17 16:51:12,2017-02-17 16:59:44,512.0,360610015010
-73.9869384766,40.714138031,2017-02-17 16:59:44,2017-02-17 17:08:16,512.0,360610002011
-73.9950790405,40.7259178162,2017-02-17 17:08:16,2017-02-17 22:30:24,19328.0,360610055022
-73.9902114868,40.7078056335,2017-02-17 22:30:24,2017-02-17 22:36:48,384.0,360610006000
-73.9849777222,40.691734314,2017-02-17 22:36:48,2017-02-17 22:43:12,384.0,360470015003
-73.9783630371,40.684589386,2017-02-17 22:43:12,2017-02-18 03:37:36,17664.0,360470039001
-73.9929428101,40.7156829834,2017-02-18 03:37:36,2017-02-18 04:18:08,2432.0,360610016003
-74.0054016113,40.7218284607,2017-02-18 04:18:08,2017-02-18 05:00:48,2560.0,360610033003
-74.0155944824,40.7275352478,2017-02-18 05:00:48,2017-02-18 06:15:28,4480.0,360610037000
-74.0045471191,40.7186508179,2017-02-18 06:15:28,2017-02-18 08:19:12,7424.0,360610033001
-73.9946365356,40.6697654724,2017-02-18 08:19:12,2017-02-18 19:58:56,41984.0,360470117002
-73.9657211304,40.6823997498,2017-02-18 19:58:56,2017-02-18 21:49:52,6656.0,360470199003
-73.9691085815,40.6777000427,2017-02-18 21:49:52,2017-02-19 01:18:56,12544.0,360470163003
-73.9780807495,40.6722755432,2017-02-19 01:18:56,2017-02-19 01:31:44,768.0,360470157004
-73.9839782715,40.6718978882,2017-02-19 01:31:44,2017-02-19 01:44:32,768.0,360470135002
-73.9887695312,40.6656723022,2017-02-19 01:44:32,2017-02-19 02:14:24,1792.0,360470141001
-74.003868103,40.6721191406,2017-02-19 02:14:24,2017-02-19 02:52:48,2304.0,360470053001
-73.9913635254,40.6647758484,2017-02-19 02:52:48,2017-02-19 20:37:20,63872.0,360470141002
-73.9922943115,40.6642799377,2017-02-19 20:37:20,2017-02-20 12:54:24,58624.0,360470143001
-73.9909362793,40.6715011597,2017-02-20 12:54:24,2017-02-20 13:13:36,1152.0,360470121001
-73.998298645,40.6772117615,2017-02-20 13:13:36,2017-02-20 13:22:08,512.0,360470077003
-73.9943237305,40.6807174683,2017-02-20 13:22:08,2017-02-20 13:28:32,384.0,360470075004
-73.9903259277,40.6867675781,2017-02-20 13:28:32,2017-02-20 13:41:20,768.0,360470043003
-73.9747695923,40.7012557983,2017-02-20 13:41:20,2017-02-20 13:54:08,768.0,360470543001
-73.875289917,40.7495574951,2017-02-20 13:54:08,2017-02-20 14:56:00,3712.0,360810275003
-73.8889312744,40.7504081726,2017-02-20 14:56:00,2017-02-20 15:15:12,1152.0,360810287002
-73.8883666992,40.7449798584,2017-02-20 15:15:12,2017-02-20 15:30:08,896.0,360810267002
-73.8938980103,40.7466239929,2017-02-20 15:30:08,2017-02-20 15:45:04,896.0,360810265001
-73.9001083374,40.7463798523,2017-02-20 15:45:04,2017-02-20 16:10:40,1536.0,360810261004
-73.997718811,40.6929969788,2017-02-20 16:10:40,2017-02-20 16:14:56,256.0,360470007002
-74.0004425049,40.6777992249,2017-02-20 16:14:56,2017-02-20 21:54:08,20352.0,360470065006
-73.9942474365,40.6655693054,2017-02-20 21:54:08,2017-02-21 03:09:52,18944.0,360470143001
-73.9922409058,40.6640434265,2017-02-21 03:09:52,2017-02-21 17:21:04,51072.0,360470143001
-73.9994735718,40.6917877197,2017-02-21 17:21:04,2017-02-21 17:33:52,768.0,360470007001
-73.9978179932,40.7275924683,2017-02-21 17:33:52,2017-02-21 21:45:36,15104.0,360610055012
-73.9978179932,40.7275924683,2017-02-21 21:45:36,2017-02-21 22:17:36,1920.0,360610055012
-73.9919128418,40.7027587891,2017-02-21 22:17:36,2017-02-21 22:30:24,768.0,360470021001
-73.9851150513,40.6739654541,2017-02-21 22:30:24,2017-02-21 22:43:12,768.0,360470135003
-73.9922332764,40.6640396118,2017-02-21 22:43:12,2017-02-22 02:22:56,13184.0,360470143001
-74.0042800903,40.6724395752,2017-02-22 02:22:56,2017-02-22 17:04:00,52864.0,360470053001
-74.0022277832,40.6747398376,2017-02-22 17:04:00,2017-02-22 17:50:56,2816.0,360470085002
-73.9853439331,40.6730232239,2017-02-22 17:50:56,2017-02-22 18:46:24,3328.0,360470135002
-74.0023193359,40.6747703552,2017-02-22 18:46:24,2017-02-22 19:20:32,2048.0,360470085002
-73.9853515625,40.6731338501,2017-02-22 19:20:32,2017-02-22 19:29:04,512.0,360470135002
-74.0019683838,40.6746520996,2017-02-22 19:29:04,2017-02-22 19:54:40,1536.0,360470085002
